Segment begin ------------:
Segment properties:
path distance: 23620.574; arch distance:29540.443; shear: 1.1703705E7
Nodes:
65	33	7238.333	3647.2222	3591.1108	0.0	113245.77
65	32	7238.333	3535.0	3592.864	6.2519455	130372.91
65	31	7238.333	3422.7776	3598.118	6.2207665	165741.83
65	30	7238.333	3310.5554	3606.8577	6.1897087	285391.0
64	29	7126.111	3198.3333	3507.7295	6.154862	518034.75
64	28	7126.111	3086.111	3523.849	6.1232724	818943.06
64	27	7126.111	2973.889	3543.451	6.092001	1256343.5
64	26	7126.111	2861.6665	3566.4778	6.0611033	1950446.1
64	25	7126.111	2749.4446	3592.864	6.030631	2771738.5
63	24	7013.889	2637.2222	3514.9036	5.9917283	4675640.5
63	23	7013.889	2525.0	3548.7786	5.961435	6291771.0
63	22	7013.889	2412.7776	3585.8472	5.9317403	7761951.5
62	21	6901.6665	2300.5554	3522.0618	5.8908453	1.1421411E7
62	20	6901.6665	2188.3335	3566.4778	5.8617663	1.4168445E7
61	19	6789.4443	2076.111	3513.111	5.8195376	1.948318E7
61	18	6789.4443	1963.8888	3564.712	5.791376	2.2147834E7
60	17	6677.222	1851.6666	3522.062	5.7482305	2.84647E7
60	16	6677.222	1739.4445	3580.5747	5.721264	3.0375034E7
59	15	6565.0	1627.2223	3548.778	5.677641	3.4739476E7
58	14	6452.778	1515.0	3523.8494	5.633315	3.9771848E7
57	13	6340.555	1402.7777	3505.934	5.588447	4.0674156E7
57	12	6340.555	1290.5555	3578.8154	5.5643554	3.6454732E7
56	11	6228.333	1178.3333	3571.7708	5.5200057	3.328642E7
55	10	6116.111	1066.1111	3571.7708	5.475569	3.955248E7
54	9	6003.889	953.88885	3578.816	5.431219	3.9801696E7
53	9	5891.6665	953.88885	3505.934	5.4071274	4.5192976E7
52	8	5779.4443	841.6666	3523.8494	5.3622594	4.8883992E7
51	7	5667.222	729.4444	3548.7783	5.3179336	6.0830692E7
50	6	5555.0	617.2222	3580.5747	5.2743106	8.1110632E7
49	6	5442.778	617.2222	3522.062	5.247344	1.02319952E8
48	5	5330.555	505.0	3564.7117	5.204198	4.5152272E7
47	5	5218.333	505.0	3513.111	5.1760364	3.8616264E7
46	4	5106.111	392.77777	3566.4778	5.133808	3.5939964E7
